p,q,column_id,p_mapped,q_mapped,x,y,z,dx,dy,dz,side
-9,0,470,-9.820646932107017,-0.49620675840151546,130.69474411010742,-315.2683868408203,-83.71068954467773,0.9128810255276761,-0.3667184869194947,-0.17934822157750732,right
-9,1,566,-9.807309368263066,0.5691054115164935,138.63556671142578,-304.01732635498047,-73.47521591186523,0.9403039876805783,-0.3102231704059916,-0.13996426435079096,right
-9,2,137,-9.793971804419117,1.634417581434507,145.46010971069336,-291.76470947265625,-63.401832580566406,0.9628364287986487,-0.24934795924670758,-0.10378635072959763,right
-9,3,635,-9.780634240575166,2.6997297513525176,151.05985260009766,-278.4814910888672,-53.56263446807861,0.9803401706939527,-0.1840377730573474,-0.07115650224571157,right
-9,4,371,-9.767296676731217,3.765041921270529,155.3115692138672,-264.14186096191406,-44.03616428375244,0.9925137266631665,-0.1144815608915704,-0.04254967216116601,right
-9,5,363,-9.753959112887266,4.830354091188543,158.07567024230957,-248.7261505126953,-34.90920972824097,0.9989767025028131,-0.041236666492530535,-0.018576468803028726,right
-9,6,277,-9.740621549043315,5.895666261106553,159.19392013549805,-232.2238883972168,-26.27880620956421,0.9993983720207777,0.03468273534542526,4.325711873694001e-05,right
-9,7,107,-9.727283985199366,6.960978431024564,158.4876537322998,-214.63629722595215,-18.254252672195435,0.9936527151428616,0.11179052795290026,0.012536329176881718,right
-8,-16,399,-8.959108777332137,-17.479497782154084,-96.687744140625,-355.94677734375,-195.638916015625,-0.3118142152085282,-0.3792777727025837,-0.8711602988702233,right
-8,-15,671,-8.945771213488188,-16.41418561223607,-81.3310546875,-366.457275390625,-194.79248046875,-0.22526011073938962,-0.4851238195505998,-0.8449335844989919,right
-8,-14,135,-8.932433649644233,-15.348873442318059,-65.71044921875,-374.32666015625,-192.226806640625,-0.1332398723471402,-0.5669347840430894,-0.812915793338359,right
-8,-13,676,-8.919096085800287,-14.283561272400048,-49.9730224609375,-379.88916015625,-188.18582153320312,-0.037639721539888746,-0.6289852118908789,-0.7765055406016018,right
-8,-12,467,-8.905758521956336,-13.218249102482037,-34.2489013671875,-383.441162109375,-182.88275146484375,0.0597943459870697,-0.6741121035760562,-0.7362048003105135,right
-8,-11,401,-8.892420958112385,-12.152936932564025,-18.65203857421875,-385.2296142578125,-176.5090789794922,0.1574145807330627,-0.7043452675461078,-0.692183786185458,right
-8,-10,611,-8.879083394268436,-11.087624762646014,-3.28265380859375,-385.469970703125,-169.23728942871094,0.25340872870113346,-0.7211853624538493,-0.644729159570424,right
-8,-9,351,-8.865745830424483,-10.022312592728001,11.772186279296875,-384.3375244140625,-161.2156524658203,0.34599054506757493,-0.7259367475153483,-0.5943958120063431,right
-8,-8,533,-8.852408266580534,-8.95700042280999,26.43658447265625,-381.9767761230469,-152.57814407348633,0.4335253897825598,-0.7199638636865175,-0.5419481261149087,right
-8,-7,436,-8.839070702736585,-7.891688252891982,40.64170837402344,-378.5006408691406,-143.4414930343628,0.5147744416949923,-0.7046647842526025,-0.48831835518628836,right
